CustomerId;Xcoord;Ycoord;CustomerType;SatisfactionStatus;ReasonForSatisfaction;PreferredTimeSlot;WillingnessToChangeTS;TimeslotId;TimeslotStart;TimeslotEnd;OrderPrice
1;14;4;Stay-at-Home;Very Satisfied;Preferred Slot;17:00:00;False;23;17:00:00;17:30:00;normal
2;12;2;Stay-at-Home;Very Satisfied;Preferred Slot;14:00:00;False;17;14:00:00;14:30:00;normal
3;8;7;Senior;Very Satisfied;Preferred cheapest Slot;10:00:00;True;9;10:00:00;10:30:00;normal
4;12;16;Student;Very Satisfied;Preferred Slot;20:30:00;False;30;20:30:00;21:00:00;expensive
5;15;16;Senior;Very Satisfied;Preferred cheapest Slot;07:30:00;True;4;07:30:00;08:00:00;normal
6;9;20;Stay-at-Home;Very Satisfied;Preferred Slot;11:30:00;False;12;11:30:00;12:00:00;normal
7;7;4;Senior;Very Satisfied;Preferred cheapest Slot;06:00:00;False;1;06:00:00;06:30:00;normal
8;17;9;Senior;Very Satisfied;Preferred cheapest Slot;11:00:00;False;11;11:00:00;11:30:00;normal
9;7;12;Student;Very Satisfied;Preferred cheapest Slot;12:30:00;False;14;12:30:00;13:00:00;normal
10;20;16;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;14:00:00;False;;;;
11;6;18;Stay-at-Home;Very Satisfied;Preferred Slot;09:00:00;True;7;09:00:00;09:30:00;normal
12;14;2;Student;Very Satisfied;Preferred Slot;15:00:00;True;19;15:00:00;15:30:00;normal
13;5;9;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;11:00:00;False;;;;
14;3;15;Business;Dissatisfied;Not willing to change and canceled order;20:30:00;False;;;;
15;17;12;Senior;Very Satisfied;Preferred cheapest Slot;13:00:00;True;15;13:00:00;13:30:00;normal
16;7;13;Student;Very Satisfied;Preferred Slot;21:00:00;False;31;21:00:00;21:30:00;expensive
17;2;19;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;09:00:00;False;;;;
18;1;1;Senior;Very Satisfied;Preferred cheapest Slot;12:00:00;False;13;12:00:00;12:30:00;normal
19;6;3;Business;Very Satisfied;Preferred Slot;20:00:00;False;29;20:00:00;20:30:00;expensive
20;13;1;Business;Very Satisfied;Preferred Slot;07:00:00;False;3;07:00:00;07:30:00;normal
21;3;1;Stay-at-Home;Very Satisfied;Preferred Slot;15:30:00;False;20;15:30:00;16:00:00;normal
22;2;13;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;15:30:00;True;;;;
23;18;6;Senior;Dissatisfied;Not willing to change and canceled order;14:00:00;True;;;;
24;5;14;Senior;Dissatisfied;Not willing to change and canceled order;07:30:00;False;;;;
25;17;4;Business;Very Satisfied;Preferred Slot;21:30:00;False;32;21:30:00;22:00:00;expensive
26;8;6;Senior;Dissatisfied;Not willing to change and canceled order;06:00:00;False;;;;
27;17;7;Student;Dissatisfied;Not willing to change and canceled order;20:00:00;False;;;;
28;14;15;Stay-at-Home;Very Satisfied;Preferred cheapest Slot;10:30:00;True;10;10:30:00;11:00:00;normal
29;14;15;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;14:00:00;True;;;;
30;12;3;Senior;Dissatisfied;Not willing to change and canceled order;10:00:00;False;;;;
31;8;15;Business;Dissatisfied;Not willing to change and canceled order;21:30:00;False;;;;
32;13;5;Stay-at-Home;Very Satisfied;Preferred cheapest Slot;08:30:00;False;6;08:30:00;09:00:00;normal
33;11;10;Senior;Dissatisfied;Not willing to change and canceled order;07:00:00;False;;;;
34;2;6;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;11:00:00;True;;;;
35;7;18;Student;Very Satisfied;Preferred Slot;13:30:00;True;16;13:30:00;14:00:00;normal
36;20;11;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;15:00:00;False;;;;
37;6;5;Student;Very Satisfied;Preferred cheap Slot;20:00:00;False;29;20:00:00;20:30:00;cheap
38;6;7;Student;Dissatisfied;Not willing to change and canceled order;11:30:00;True;;;;
39;20;1;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;17:00:00;True;;;;
40;8;11;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;10:00:00;True;;;;
41;6;7;Business;Very Satisfied;Preferred Slot;06:30:00;False;2;06:30:00;07:00:00;normal
42;20;3;Student;Dissatisfied;Not willing to change and canceled order;11:00:00;True;;;;
43;14;8;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;08:30:00;True;;;;
44;11;10;Senior;Dissatisfied;Not willing to change and canceled order;06:00:00;True;;;;
