CustomerId;Xcoord;Ycoord;CustomerType;SatisfactionStatus;ReasonForSatisfaction;PreferredTimeSlot;WillingnessToChangeTS;TimeslotId;TimeslotStart;TimeslotEnd;OrderPrice
1;13;17;Student;Satisfied;Preferred cheapest Slot;11:00:00;True;11;11:00:00;11:30:00;normal
2;17;17;Senior;Satisfied;Preferred cheapest Slot;07:00:00;True;3;07:00:00;07:30:00;normal
3;16;19;Stay-at-Home;Very Satisfied;Preferred Slot;10:30:00;True;10;10:30:00;11:00:00;normal
4;12;8;Stay-at-Home;Satisfied;Preferred cheapest Slot;15:00:00;False;19;15:00:00;15:30:00;normal
5;13;9;Business;Very Satisfied;Preferred Slot;06:30:00;False;2;06:30:00;07:00:00;normal
6;14;18;Stay-at-Home;Satisfied;Preferred cheapest Slot;11:30:00;False;12;11:30:00;12:00:00;normal
7;11;12;Business;Very Satisfied;Preferred Slot;20:00:00;False;29;20:00:00;20:30:00;expensive
8;11;4;Stay-at-Home;Satisfied;Suitable slot;11:30:00;True;9;10:00:00;10:30:00;normal
9;9;19;Senior;Satisfied;Preferred cheapest Slot;06:00:00;True;1;06:00:00;06:30:00;normal
10;12;13;Business;Very Satisfied;Preferred Slot;21:00:00;False;31;21:00:00;21:30:00;expensive
11;20;17;Business;Very Satisfied;Preferred Slot;20:30:00;False;30;20:30:00;21:00:00;expensive
12;7;12;Student;Very Satisfied;Preferred Slot;13:00:00;True;15;13:00:00;13:30:00;normal
13;2;1;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;15:00:00;False;;;;
14;10;16;Student;Dissatisfied;Not willing to change and canceled order;11:00:00;False;;;;
15;18;19;Student;Satisfied;Preferred cheapest Slot;12:30:00;False;14;12:30:00;13:00:00;normal
16;5;18;Senior;Dissatisfied;Not willing to change and canceled order;11:30:00;False;;;;
17;5;6;Senior;Dissatisfied;Not willing to change and canceled order;06:00:00;False;;;;
18;14;15;Student;Dissatisfied;Not willing to change and canceled order;20:00:00;False;;;;
19;16;9;Business;Dissatisfied;Not willing to change and canceled order;20:00:00;False;;;;
