CustomerId;Xcoord;Ycoord;CustomerType;SatisfactionStatus;ReasonForSatisfaction;PreferredTimeSlot;WillingnessToChangeTS;TimeslotId;TimeslotStart;TimeslotEnd;OrderPrice
1;16;3;Student;Very Satisfied;Preferred cheapest Slot;17:00:00;True;23;17:00:00;17:30:00;normal
2;17;11;Business;Very Satisfied;Preferred Slot;06:00:00;False;1;06:00:00;06:30:00;normal
3;16;14;Stay-at-Home;Very Satisfied;Preferred cheapest Slot;15:30:00;True;20;15:30:00;16:00:00;normal
4;20;2;Student;Very Satisfied;Preferred Slot;19:30:00;True;28;19:30:00;20:00:00;normal
5;19;17;Student;Very Satisfied;Preferred cheapest Slot;14:30:00;True;18;14:30:00;15:00:00;normal
6;20;4;Senior;Satisfied;Cheapest possible Slot;06:00:00;True;2;06:30:00;07:00:00;normal
7;9;19;Student;Satisfied;Cheapest possible Slot;14:30:00;True;17;14:00:00;14:30:00;normal
8;8;3;Senior;Very Satisfied;Preferred cheapest Slot;13:30:00;True;16;13:30:00;14:00:00;normal
9;11;20;Stay-at-Home;Very Satisfied;Preferred Slot;10:30:00;False;10;10:30:00;11:00:00;normal
10;18;20;Stay-at-Home;Very Satisfied;Preferred cheapest Slot;08:30:00;True;6;08:30:00;09:00:00;normal
11;3;7;Stay-at-Home;Very Satisfied;Preferred cheapest Slot;10:00:00;False;9;10:00:00;10:30:00;normal
12;2;19;Senior;Very Satisfied;Preferred cheapest Slot;09:30:00;False;8;09:30:00;10:00:00;normal
13;18;2;Stay-at-Home;Satisfied;Cheapest possible Slot;10:30:00;True;11;11:00:00;11:30:00;normal
14;13;17;Business;Very Satisfied;Preferred Slot;20:30:00;False;30;20:30:00;21:00:00;expensive
15;9;10;Business;Very Satisfied;Preferred Slot;07:30:00;False;4;07:30:00;08:00:00;normal
16;14;12;Senior;Very Satisfied;Preferred cheapest Slot;07:00:00;True;3;07:00:00;07:30:00;normal
17;13;2;Business;Dissatisfied;Not willing to change and canceled order;07:30:00;False;;;;
18;15;17;Senior;Dissatisfied;Not willing to change and canceled order;08:30:00;False;;;;
19;19;10;Student;Satisfied;Cheapest possible Slot;14:30:00;True;19;15:00:00;15:30:00;normal
20;2;5;Senior;Satisfied;Cheapest possible Slot;14:30:00;True;15;13:00:00;13:30:00;normal
21;15;10;Senior;Satisfied;Cheapest possible Slot;07:00:00;True;5;08:00:00;08:30:00;normal
22;5;16;Student;Very Satisfied;Preferred Slot;16:00:00;False;21;16:00:00;16:30:00;normal
23;16;15;Student;Very Satisfied;Preferred Slot;19:00:00;True;27;19:00:00;19:30:00;normal
24;16;19;Business;Dissatisfied;Not willing to change and canceled order;06:00:00;False;;;;
25;17;12;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;08:00:00;False;;;;
26;14;6;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;14:00:00;False;;;;
27;4;5;Senior;Dissatisfied;Not willing to change and canceled order;13:30:00;False;;;;
28;20;10;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;10:00:00;False;;;;
29;8;4;Student;Very Satisfied;Preferred Slot;17:30:00;True;24;17:30:00;18:00:00;normal
30;12;20;Stay-at-Home;Satisfied;Cheapest possible Slot;09:30:00;True;7;09:00:00;09:30:00;normal
31;2;12;Senior;Satisfied;Cheapest possible Slot;10:00:00;True;12;11:30:00;12:00:00;normal
32;18;7;Business;Very Satisfied;Preferred Slot;20:00:00;False;29;20:00:00;20:30:00;normal
33;7;20;Senior;Dissatisfied;Not willing to change and canceled order;11:00:00;False;;;;
34;8;16;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;09:30:00;False;;;;
35;10;3;Business;Dissatisfied;Not willing to change and canceled order;20:30:00;False;;;;
36;8;4;Senior;Dissatisfied;Not willing to change and canceled order;13:00:00;False;;;;
37;7;17;Student;Dissatisfied;Not willing to change and canceled order;15:30:00;False;;;;
38;14;8;Stay-at-Home;Satisfied;Cheapest possible Slot;11:00:00;True;22;16:30:00;17:00:00;normal
39;18;9;Stay-at-Home;Satisfied;Suitable Slot;08:00:00;True;19;15:00:00;15:30:00;cheap
40;11;11;Business;Dissatisfied;Not willing to change and canceled order;20:30:00;False;;;;
41;15;20;Student;Dissatisfied;Not willing to change and canceled order;20:30:00;False;;;;
42;1;11;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;08:30:00;False;;;;
43;12;10;Business;Dissatisfied;Not willing to change and canceled order;07:00:00;False;;;;
44;2;9;Senior;Satisfied;Cheapest possible Slot;13:00:00;True;14;12:30:00;13:00:00;normal
45;19;7;Business;Dissatisfied;Not willing to change and canceled order;06:00:00;False;;;;
46;13;20;Senior;Dissatisfied;Not willing to change and canceled order;08:30:00;False;;;;
47;15;1;Senior;Satisfied;Cheapest possible Slot;06:30:00;True;13;12:00:00;12:30:00;normal
48;4;19;Business;Dissatisfied;Not willing to change and canceled order;07:30:00;False;;;;
49;17;18;Student;Dissatisfied;Not willing to change and canceled order;17:30:00;False;;;;
50;9;8;Business;Dissatisfied;Not willing to change and canceled order;06:30:00;False;;;;
51;9;10;Business;Dissatisfied;Not willing to change and canceled order;07:00:00;False;;;;
52;7;14;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;16:30:00;False;;;;
53;11;11;Senior;Very Dissatisfied;No Cheap Slot, but customer was willing to change;08:30:00;True;;;;
54;19;1;Senior;Dissatisfied;Not willing to change and canceled order;09:00:00;False;;;;
55;13;17;Senior;Very Dissatisfied;No Cheap Slot, but customer was willing to change;09:00:00;True;;;;
56;13;14;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;11:30:00;False;;;;
57;5;2;Student;Very Satisfied;Preferred Slot;21:00:00;True;31;21:00:00;21:30:00;normal
58;17;12;Business;Dissatisfied;Not willing to change and canceled order;20:30:00;False;;;;
59;2;11;Student;Dissatisfied;Not willing to change and canceled order;21:00:00;False;;;;
60;4;13;Student;Dissatisfied;Not willing to change and canceled order;16:30:00;False;;;;
61;16;8;Senior;Satisfied;Cheapest possible Slot;06:00:00;True;22;16:30:00;17:00:00;cheap
62;8;13;Student;Very Satisfied;Preferred Slot;18:00:00;False;25;18:00:00;18:30:00;normal
63;19;18;Business;Dissatisfied;Not willing to change and canceled order;07:30:00;False;;;;
64;13;19;Stay-at-Home;Dissatisfied;Not willing to change and canceled order;14:30:00;False;;;;
65;19;10;Student;Satisfied;Cheapest possible Slot;17:30:00;True;26;18:30:00;19:00:00;normal
66;10;12;Stay-at-Home;Very Dissatisfied;No Cheap Slot, but customer was willing to change;11:30:00;True;;;;
67;9;7;Business;Very Satisfied;Preferred Slot;21:30:00;False;32;21:30:00;22:00:00;expensive
68;10;14;Student;Very Dissatisfied;No Cheap Slot, but customer was willing to change;20:00:00;True;;;;
69;18;15;Senior;Very Dissatisfied;No Cheap Slot, but customer was willing to change;13:30:00;True;;;;
70;9;1;Business;Dissatisfied;Not willing to change and canceled order;21:00:00;False;;;;
